name,latitude,longitude,district,neighborhood,district_id,neighborhood_id,bakery_type,is_chain,brand_name,street,house_number,postal_code,opening_hours,website,data_source,source_ids
,52.5103457,13.4082896,Mitte,Mitte,mitte,mitte,artisanal,False,,Alte Jakobstraße,77,10179,,,OSM,node/58489996
Back-Factory,52.4862765,13.3561798,Tempelhof-Schöneberg,Schöneberg,tempelhof-schöneberg,schöneberg,chain,True,Back-Factory,Hauptstraße,22,10827,Mo-Fr 06:00-19:00; Sa 06:30-18:00; Su 07:00-16:00,,OSM,node/253999302
Brot & Brötchen,52.4961316,13.3202337,Charlottenburg-Wilmersdorf,Wilmersdorf,charlottenburg-wilmersdorf,wilmersdorf,artisanal,False,,,,,Mo-Fr 07:00-17:00; Sa 07:00-14:00; Su 07:00-14:00,,OSM,node/254333065
Steinecke,52.4879589,13.2629853,Charlottenburg-Wilmersdorf,Grunewald,charlottenburg-wilmersdorf,grunewald,chain,True,Steinecke,,,,Mo-Fr 06:30-18:00; Sa 07:00-14:00; Su 07:00-12:00,,OSM,node/254992626
Wilmina Brot,52.5069568,13.2972926,Charlottenburg-Wilmersdorf,Charlottenburg,charlottenburg-wilmersdorf,charlottenburg,artisanal,False,,Kantstraße,80,10627,We-Su 08:00-16:00,,OSM,node/258050855
Feinbäckerei Wenzel,52.5150119,13.4637616,Friedrichshain-Kreuzberg,Friedrichshain,friedrichshain-kreuzberg,friedrichshain,artisanal,False,,Frankfurter Allee,47,10247,Mo-Fr 06:30-18:30; Sa 07:00-16:00,,OSM,node/262365563
Müller,52.511619,13.6120334,Marzahn-Hellersdorf,Mahlsdorf,marzahn-hellersdorf,mahlsdorf,chain,True,Christian Müller,Hönower Straße,77,12623,Mo-Fr 05:30-18:30; Sa 05:30-16:30; PH off,,OSM,node/266622845
Mein Brotkorb,52.5115693,13.1813893,Spandau,Wilhelmstadt,spandau,wilhelmstadt,artisanal,False,,,,,Mo-Fr 06:30-18:00; Sa 06:30-12:00; Su 07:00-11:00,,OSM,node/267245380
Steinecke,52.5966354,13.290827,Reinickendorf,Tegel,reinickendorf,tegel,chain,True,Steinecke,,,,,,OSM,node/268424317
Die Leckerei,52.5368767,13.1890809,Spandau,Spandau,spandau,spandau,artisanal,False,,Seegefelder Straße,55,13583,,,OSM,node/271876298
Beumer Lutum,52.4971308,13.4431518,Friedrichshain-Kreuzberg,Kreuzberg,friedrichshain-kreuzberg,kreuzberg,artisanal,False,,Cuvrystraße,22,10997,Mo-Fr 07:00-18:00; Sa-Su 07:00-14:00,,OSM,node/272812495
Steinecke,52.5149758,13.4642337,Friedrichshain-Kreuzberg,Friedrichshain,friedrichshain-kreuzberg,friedrichshain,chain,True,Steinecke,Frankfurter Allee,49,10247,Mo-Fr 06:30-19:00; Sa 07:00-18:00; Su 07:00-11:00,,OSM,node/278874898
Steinecke,52.5115459,13.4571791,Friedrichshain-Kreuzberg,Friedrichshain,friedrichshain-kreuzberg,friedrichshain,chain,True,Steinecke,Simon-Dach-Straße,41a,10245,Mo-Sa 06:30-20:00; Su 06:30-17:00,,OSM,node/282421661
Bäckerei 2000,52.5176593,13.4571456,Friedrichshain-Kreuzberg,Friedrichshain,friedrichshain-kreuzberg,friedrichshain,artisanal,False,,,,,,,OSM,node/282738153
Backfee,52.5125767,13.4666812,Friedrichshain-Kreuzberg,Friedrichshain,friedrichshain-kreuzberg,friedrichshain,artisanal,False,,Jungstraße,10,10247,Mo-Sa 05:00-18:00; Su 06:00-18:00,,OSM,node/282816161
Harry Werksverkauf,52.5551762,13.5469399,Marzahn-Hellersdorf,Marzahn,marzahn-hellersdorf,marzahn,artisanal,False,,,,,"Mo-Fr 05:00-19:00; Sa,Su 06:00-15:00",,OSM,node/286703333
Café Bäckerei Süss,52.4877711,13.4260639,Neukölln,Neukölln,neukölln,neukölln,artisanal,False,,Sonnenallee,5,12047,"Mo-Fr 04:00-20:00; Sa,Su 04:00-19:00",,OSM,node/294257700
Schnell,52.5041272,13.3169693,Charlottenburg-Wilmersdorf,Charlottenburg,charlottenburg-wilmersdorf,charlottenburg,chain,True,Torsten Schnell GmbH,Schlüterstraße,29-30,10629,"Mo-Fr 06:30-18:00; Sa,Su 07:00-15:00",,OSM,node/295147159
Kurfürsten-Bäckerei,52.4263501,13.3352117,Steglitz-Zehlendorf,Lankwitz,steglitz-zehlendorf,lankwitz,artisanal,False,,Kurfürstenstraße,31,12249,Tu-Fr 07:00-17:00; Sa 06:30-12:00; Su 07:30-15:00 ; Mo closed,,OSM,node/299210249
Bäckerei Backfee,52.5249695,13.4521259,Friedrichshain-Kreuzberg,Friedrichshain,friedrichshain-kreuzberg,friedrichshain,artisanal,False,,Ebertystraße,11,10249,Mo-Sa 05:30-18:00; Su 06:00-18:00,,OSM,node/307467688
Mühlenbäck,52.5497834,13.4169793,Pankow,Prenzlauer Berg,pankow,prenzlauer_berg,artisanal,False,,Wichertstraße,9a,10439,Mo-Su 05:00-18:00,,OSM,node/308626327
Johann Mayer,52.4791448,13.3438836,Tempelhof-Schöneberg,Schöneberg,tempelhof-schöneberg,schöneberg,artisanal,False,,Innsbrucker Platz,4,10827,Mo-Fr 06:00-18:00; Sa 07:00-13:00,,OSM,node/310377175
Kafkas Bäckerei,52.4941425,13.4001541,Friedrichshain-Kreuzberg,Kreuzberg,friedrichshain-kreuzberg,kreuzberg,artisanal,False,,,,,Mo-Sa 06:00-18:00; Su 06:00-16:00,,OSM,node/312698799
Bio-Bäckerei Bucco,52.5428039,13.3705212,Mitte,Gesundbrunnen,mitte,gesundbrunnen,artisanal,False,,Ravenéstraße,1,13347,Mo-Fr 08:00-18:00; Sa 08:00-12:00; Su off,,OSM,node/312854886
