id,district_id,center_name,latitude,longitude,neighborhood,district,neighborhood_id,data_source
6660665090,11001001,Jobcenter Mitte am Leopoldplatz,52.5467722,13.3565162,Wedding,Mitte,0105,OSM_LOR
1092468394,11005005,Arbeitsagentur Spandau,52.5337752,13.1865537,Spandau,Spandau,0501,OSM_LOR
730832232,11008008,Jobcenter Berlin Neukölln,52.4789752,13.4278868,Neukölln,Neukölln,0801,OSM_LOR
246338546,11012012,Agentur für Arbeit,52.5784523,13.3087179,Borsigwalde,Reinickendorf,1211,OSM_LOR
6239357044,11007007,Agentur für Arbeit,52.4565923,13.4114781,Tempelhof,Tempelhof-Schöneberg,0703,OSM_LOR
537096787,11001001,Beta gGmbH,52.5492387,13.3645563,Wedding,Mitte,0105,OSM_LOR
7520248401,11004004,Jobcenter,52.526722,13.3141009,Charlottenburg,Charlottenburg-Wilmersdorf,0401,OSM_LOR
2182060420,11002002,Synergie,52.5187603,13.429594,Friedrichshain,Friedrichshain-Kreuzberg,0201,OSM_LOR
8583898231,11007007,Agentur für Arbeit,52.4532534,13.3798804,Tempelhof,Tempelhof-Schöneberg,0703,OSM_LOR
7920634112,11009009,Jobcenter Berlin Treptow-Köpenick,52.4458855,13.5159618,Johannisthal,Treptow-Köpenick,0904,OSM_LOR
241674284,11006006,Jobcenter Berlin Steglitz-Zehlendorf,52.4515453,13.3207428,Steglitz,Steglitz-Zehlendorf,0601,OSM_LOR
7624913154,11001001,Union Sozialer Einrichtungen,52.5581495,13.3783524,Gesundbrunnen,Mitte,0106,OSM_LOR
6735264363,11002002,A. Eastside Arbeitsvermittlung,52.5164128,13.4441982,Friedrichshain,Friedrichshain-Kreuzberg,0201,OSM_LOR
3851635472,11001001,Jobcenter,52.5105226,13.4023826,Mitte,Mitte,0101,OSM_LOR
2782312819,11001001,Job-Point,52.5255348,13.3395222,Moabit,Mitte,0102,OSM_LOR
221295547,11010010,Jobcenter Marzahn Hellersdorf // Bearbeitungsservice,52.5265041,13.5266781,Marzahn,Marzahn-Hellersdorf,1001,OSM_LOR
3281941229,11005005,Jobcenter,52.5343732,13.2682598,Siemensstadt,Spandau,0503,OSM_LOR
872603820,11003003,HandsNOW,52.571654,13.4089019,Pankow,Pankow,0307,OSM_LOR
174067315,11005005,Jugendberufsagentur Berlin,52.5344817,13.2682987,Siemensstadt,Spandau,0503,OSM_LOR
1346016268,11001001,Zenjob,52.5275788,13.3436479,Moabit,Mitte,0102,OSM_LOR
9035098171,11008008,Job Point,52.4774189,13.4388623,Neukölln,Neukölln,0801,OSM_LOR
9928570501,11008008,perZukunft,52.4777502,13.4386291,Neukölln,Neukölln,0801,OSM_LOR
4971452348,11001001,Kraftfahrer-Agentur,52.5556712,13.3468772,Wedding,Mitte,0105,OSM_LOR
8047935258,11004004,McLoud Kids,52.5161332,13.3044778,Charlottenburg,Charlottenburg-Wilmersdorf,0401,OSM_LOR
5289868853,11004004,Timejobs 24/7,52.4824552,13.3201326,Wilmersdorf,Charlottenburg-Wilmersdorf,0402,OSM_LOR
1129523416,11007007,Tertia,52.479867,13.3461686,Schöneberg,Tempelhof-Schöneberg,0701,OSM_LOR
