geometry,brand,brand:wikidata,brand:wikipedia,check_date,check_date:opening_hours,name,opening_hours,shop,addr:housenumber,addr:street,level,wheelchair,addr:city,addr:country,addr:postcode,addr:suburb,toilets:wheelchair,wheelchair:description,website,pet,phone,email,payment:american_express,payment:coins,payment:mastercard,payment:notes,payment:visa,contact:email,contact:fax,contact:phone,contact:website,note,operator,fax,payment:credit_cards,payment:debit_cards,post_office,post_office:brand,post_office:brand:wikidata,payment:girocard,source,contact:facebook,delivery,description,species:de,addr:inclusion,contact:instagram,ref:vatin,dispensing,opening_hours:covid19,old_name,wikimedia_commons,surveillance,start_date,opening_hours:signed,organic,post_office:ref,post_office:type,url,alt_name,building,roof:shape,building:colour,building:levels,payment:cash,roof:levels,indoor,room,entrance,longitude,latitude,full_address,district,neighborhood,neighborhood_id,district_id
POINT (13.288411 52.4997351),Fressnapf,Q875796,en:Fressnapf,2025-10-29,2025-10-29,Fressnapf,Mo-Fr 09:00-20:00; Sa 09:00-19:00,pet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.288411,52.4997351,"Fressnapf, Lützenstraße, Halensee, Charlottenburg-Wilmersdorf, Berlin, 10711, Deutschland",Charlottenburg-Wilmersdorf,Halensee,0407,11004004
POINT (13.3675197 52.5425188),Fressnapf,Q875796,de:Fressnapf,2025-08-28,2025-08-28,Fressnapf,Mo-Fr 09:00-20:00; Sa 09:00-18:00,pet,10-11,Müllerstraße,0,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.3675197,52.5425188,"Fressnapf, 10-11, Müllerstraße, Sprengelkiez, Wedding, Mitte, Berlin, 13353, Deutschland",Mitte,Wedding,0105,11001001
POINT (13.4519634 52.5336145),Fressnapf,Q875796,en:Fressnapf,,,Fressnapf,,pet,128b,Storkower Straße,,limited,Berlin,DE,10407,Prenzlauer Berg,no,Behindertenparkplätze werden dauerhaft als Abstellfläche für Waren genutzt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.4519634,52.5336145,"Fressnapf, 128b, Storkower Straße, Blumenviertel, Prenzlauer Berg, Pankow, Berlin, 10407, Deutschland",Pankow,Prenzlauer Berg,0301,11003003
POINT (13.3084403 52.4788764),,,,,,Lucas Tierwelt,Mo-Sa 08:00-20:00,pet,95,Forckenbeckstraße,,,Berlin,DE,14199,Schmargendorf,,,https://www.lucas-tierwelt.de/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.3084403,52.4788764,"Lucas Tierwelt, 95, Forckenbeckstraße, Schmargendorf, Charlottenburg-Wilmersdorf, Berlin, 14199, Deutschland",Charlottenburg-Wilmersdorf,Schmargendorf,0403,11004004
POINT (13.4480157 52.4686707),Das Futterhaus,Q1167914,de:Das Futterhaus,,,Das Futterhaus,,pet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.4480157,52.4686707,"Das Futterhaus, 52, Lahnstraße, Richardkiez, Neukölln, Berlin, 12055, Deutschland",Neukölln,Neukölln,0801,11008008
POINT (13.326709 52.4907856),,,,,,Natürlich Hund,Tu-Fr 11:00-18:00; Sa 10:00-15:00,pet,57,Nassauische Straße,,,Berlin,DE,10717,Wilmersdorf,,,,dog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.326709,52.4907856,"Natürlich Hund, 57, Nassauische Straße, Güntzelkiez, Wilmersdorf, Charlottenburg-Wilmersdorf, Berlin, 10717, Deutschland",Charlottenburg-Wilmersdorf,Wilmersdorf,0402,11004004
POINT (13.3535032 52.5745973),,,,2023-08-15,,Hundesalon,"""nach Vereinbarung (Beschriftung der Öffnungszeiten wurde in Teilen entfernt)""",pet,,,,yes,,,,,,,,,+49 30 81612547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.3535032,52.5745973,"Hundesalon, 45-46, Alt-Reinickendorf, Reinickendorf, Berlin, 13407, Deutschland",Reinickendorf,Reinickendorf,1201,11012012
POINT (13.6108273 52.540182),Fressnapf,Q875796,de:Fressnapf,,,Fressnapf,Mo-Fr 09:00-20:00; Sa 09:00-18:00; PH off,pet,23-27,Quedlinburger Straße,,yes,Berlin,,12627,,,,https://www.fressnapf.de/stores/fressnapf-berlin-hellersdorf/,,+49 30 99275073,info@fressnapf.de,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.6108273,52.540182,"Fressnapf, 23-27, Quedlinburger Straße, Hellersdorfer Graben, Hellersdorf, Marzahn-Hellersdorf, Berlin, 12627, Deutschland",Marzahn-Hellersdorf,Hellersdorf,1005,11010010
POINT (13.2423758 52.4232169),Fressnapf,Q875796,de:Fressnapf,,,Fressnapf,,pet,,,,yes,,,,,,,,,,,no,yes,yes,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.2423758,52.4232169,"Fressnapf, Ludwigsfelder Straße, Zehlendorf, Steglitz-Zehlendorf, Berlin, Teltow, 14165, Deutschland",Steglitz-Zehlendorf,Zehlendorf,0604,11006006
POINT (13.366604 52.5642435),Das Futterhaus,Q1167914,de:Das Futterhaus,,2023-04-24,Das Futterhaus,closed,pet,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.366604,52.5642435,"Das Futterhaus, Pankower Allee, Große Lettekolonie, Reinickendorf, Berlin, 13409, Deutschland",Reinickendorf,Reinickendorf,1201,11012012
POINT (13.1966747 52.5301611),Fressnapf,Q875796,de:Fressnapf,,,Fressnapf,"Mo-Sa 09:00-20:00; Su,PH off",pet,,,,limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.1966747,52.5301611,"Fressnapf, 26, Klosterstraße, Georg-Ramin-Siedlung, Spandau, Berlin, 13581, Deutschland",Spandau,Spandau,0501,11005005
POINT (13.3064658 52.5255327),,,,2025-06-26,,Zoo fridolin,"Mo-Fr 09:00-18:00; Sa 09:00-14:00; Su off, PH off",pet,81,Kaiserin-Augusta-Allee,,limited,Berlin,DE,10589,Charlottenburg,,,,,,,,,,,,service@zoofridolin.de,+49 30 3448936,+49 30 3448936,http://www.zoofridolin.de,Geprüft am 27. Dez 2015,Stephan Wulfhorst,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.3064658,52.5255327,"Zoo fridolin, 81, Kaiserin-Augusta-Allee, Kalowswerder, Charlottenburg, Charlottenburg-Wilmersdorf, Berlin, 10589, Deutschland",Charlottenburg-Wilmersdorf,Charlottenburg,0401,11004004
POINT (13.128834 52.5284304),Fressnapf,Q875796,en:Fressnapf,,,Fressnapf,,pet,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.128834,52.5284304,"Fressnapf, Am Zeppelinpark, Siedlung Neu-Jerusalem, Staaken, Spandau, Berlin, 13591, Deutschland",Spandau,Staaken,0504,11005005
