stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,location_type,parent_station,wheelchair_boarding,platform_code,zone_id,level_id
de:11000:900007104::2,5,s_nordbahnhof_(berlin),tram_u._bussteig_invalidenstraße_ht._gartenstraße,52.531683,13.388813,0,,0,,5555_s_nordbahnhof_(berlin),4.0
de:11000:900100007::3,,s_oranienburger_str._(berlin),ersatzhalt_tucholskystraße_vor_oranienburger_straße,52.524724,13.392833,0,,0,,5555_s_oranienburger_str._(berlin),4.0
de:12070:900215110:1:50,,"bad_wilsnack,_bahnhof",bahnsteig_gleis_2,52.960114,11.949402,0,de:12070:900215110,1,2,"4533_bad_wilsnack,_bahnhof",50.0
de:12070:900215110:2:51,,"bad_wilsnack,_bahnhof",bahnsteig_gleis_3,52.960219,11.949528,0,de:12070:900215110,1,3,"4533_bad_wilsnack,_bahnhof",50.0
de:12062:900415465:1:50,,"prösen,_bahnhof",bahnsteig_gleis_1,51.434919,13.488216,0,de:12062:900415465,1,1,"7958_prösen,_bahnhof",4.0
de:12062:900415465:2:51,,"prösen,_bahnhof",bahnsteig_gleis_2,51.434886,13.488277,0,de:12062:900415465,1,2,"7958_prösen,_bahnhof",4.0
de:12072:900245025:1:50,,"rangsdorf,_bahnhof",bahnsteig_gleis_1,52.294683,13.430835,0,de:12072:900245025,1,1,"6056_rangsdorf,_bahnhof",4.0
de:12072:900245025:2:51,,"rangsdorf,_bahnhof",bahnsteig_gleis_2,52.294338,13.430585,0,de:12072:900245025,1,2,"6056_rangsdorf,_bahnhof",4.0
de:14713:8010205,,"leipzig,_hauptbahnhof",,51.345471,12.382064,0,,0,,,
de:12066:900435000:1:50,,"senftenberg,_bahnhof",bahnsteig_1,51.527237,14.004368,0,de:12066:900435000,1,1,"7765_senftenberg,_bahnhof",1.0
de:12066:900435000:1:51,,"senftenberg,_bahnhof",bahnsteig_2,51.527283,14.004297,0,de:12066:900435000,1,2,"7765_senftenberg,_bahnhof",1.0
de:12066:900435000:2:52,,"senftenberg,_bahnhof",bahnsteig_3,51.527335,14.004202,0,de:12066:900435000,1,3,"7765_senftenberg,_bahnhof",1.0
de:12066:900435000:2:53,,"senftenberg,_bahnhof",bahnsteig_4,51.527387,14.004125,0,de:12066:900435000,1,4,"7765_senftenberg,_bahnhof",1.0
de:15091:8012393,,"mühlanger,_bahnhof",,51.855712,12.748212,0,,0,,,
de:12066:900435339:1:50,,"großräschen,_bahnhof",bahnsteig_gleis_1,51.591481,14.014854,0,de:12066:900435339,1,,"7665_großräschen,_bahnhof",4.0
de:12067:900311307:1:50,,"eisenhüttenstadt,_bahnhof",bahnsteig_gleis_1,52.148564,14.658408,0,de:12067:900311307,1,1,"6375_eisenhüttenstadt,_bahnhof",5.0
de:12067:900311307:1:51,,"eisenhüttenstadt,_bahnhof",bahnsteig_gleis_2,52.148555,14.658512,0,de:12067:900311307,1,2,"6375_eisenhüttenstadt,_bahnhof",5.0
de:12069:900222030:1:50,,"borkheide,_bahnhof",bahnsteig_gleis_1,52.230691,12.854165,0,de:12069:900222030,1,1,"6247_borkheide,_bahnhof",50.0
de:12069:900222030:2:51,,"borkheide,_bahnhof",bahnsteig_gleis_2,52.230623,12.854238,0,de:12069:900222030,1,2,"6247_borkheide,_bahnhof",50.0
de:12054:900230999:1:50,,s_potsdam_hauptbahnhof,bahnsteig_gleis_1,52.391581,13.06674,0,de:12054:900230999,1,1,5750_s_potsdam_hauptbahnhof,162.0
de:12054:900230999:2:52,,s_potsdam_hauptbahnhof,bahnsteig_gleis_2,52.391485,13.066728,0,de:12054:900230999,1,2,5750_s_potsdam_hauptbahnhof,162.0
de:12054:900230999:1:51,,s_potsdam_hauptbahnhof,bahnsteig_gleis_3,52.391666,13.066749,0,de:12054:900230999,1,3,5750_s_potsdam_hauptbahnhof,162.0
de:12054:900230999:2:53,,s_potsdam_hauptbahnhof,bahnsteig_gleis_4,52.391421,13.066721,0,de:12054:900230999,1,4,5750_s_potsdam_hauptbahnhof,162.0
de:12068:900205022:1:50,,"netzeband,_bahnhof",bahnsteig_gleis_1,52.995543,12.628078,0,de:12068:900205022,1,1,"4444_netzeband,_bahnhof",5.0
de:12054:900230002:1:52,,"potsdam,_pirschheide_bhf",bahnsteig_gleis_1,52.372776,13.01074,0,de:12054:900230002,0,1,"5851_potsdam,_pirschheide_bhf",5.0
de:12054:900230002:1:50,,"potsdam,_pirschheide_bhf",bahnsteig_gleis_2,52.37287,13.010847,0,de:12054:900230002,0,2,"5851_potsdam,_pirschheide_bhf",5.0
de:12054:900230002:2:51,,"potsdam,_pirschheide_bhf",bahnsteig_gleis_3,52.373084,13.01155,0,de:12054:900230002,0,3,"5851_potsdam,_pirschheide_bhf",4.0
de:15089:8010318,,schönebeck(elbe),,52.018794,11.733157,0,,0,,,
de:11000:900160004:3:54,,s+u_lichtenberg_bhf_(berlin),bahnsteig_gleis_17,52.510002,13.49649,0,de:11000:900160004,0,17,5656_s+u_lichtenberg_bhf_(berlin),102.0
de:11000:900160004:2:52,,s+u_lichtenberg_bhf_(berlin),bahnsteig_gleis_15,52.510275,13.497433,0,de:11000:900160004,0,15,5656_s+u_lichtenberg_bhf_(berlin),102.0
de:11000:900160004:2:53,,s+u_lichtenberg_bhf_(berlin),bahnsteig_gleis_16,52.510367,13.497302,0,de:11000:900160004,0,16,5656_s+u_lichtenberg_bhf_(berlin),102.0
de:11000:900160004:3:55,,s+u_lichtenberg_bhf_(berlin),bahnsteig_gleis_20,52.510088,13.496357,0,de:11000:900160004,0,20,5656_s+u_lichtenberg_bhf_(berlin),102.0
de:11000:900160004:4:56,,s+u_lichtenberg_bhf_(berlin),bahnsteig_gleis_21,52.510126,13.496304,0,de:11000:900160004,0,21,5656_s+u_lichtenberg_bhf_(berlin),102.0
de:11000:900160004:4:57,,s+u_lichtenberg_bhf_(berlin),bahnsteig_gleis_22,52.510215,13.496164,0,de:11000:900160004,0,22,5656_s+u_lichtenberg_bhf_(berlin),102.0
de:12069:900220143:1:50,,"bad_belzig,_bahnhof",bahnsteig_gleis_1,52.136062,12.59495,0,de:12069:900220143,0,1,"6443_bad_belzig,_bahnhof",187.0
de:12069:900220143:2:51,,"bad_belzig,_bahnhof",bahnsteig_gleis_2,52.135985,12.59494,0,de:12069:900220143,1,2,"6443_bad_belzig,_bahnhof",186.0
de:12072:900245032:1:50,,"großbeeren,_bahnhof",bahnsteig_gleis_1,52.350846,13.28462,0,de:12072:900245032,1,1,"5954_großbeeren,_bahnhof",5.0
de:12072:900245032:2:51,,"großbeeren,_bahnhof",bahnsteig_gleis_2,52.350858,13.284743,0,de:12072:900245032,1,2,"5954_großbeeren,_bahnhof",5.0
de:14627:5021,,"großenhain,_cottbuser_bahnhof",,51.291636,13.523916,0,,0,,,
de:15090:8011460,,"eichstedt_(altmark),_bahnhof",,52.67485,11.854895,0,,0,,"9999_eichstedt_(altmark),_bahnhof",
de:12069:900220165:1:50,,"treuenbrietzen,_bahnhof_süd",bahnsteig_gleis_1,52.080734,12.880842,0,de:12069:900220165,1,1,"6547_treuenbrietzen,_bahnhof_süd",4.0
de:12069:900220164:1:50,,"treuenbrietzen,_bahnhof",bahnsteig_gleis_1,52.091971,12.857541,0,de:12069:900220164,1,1,"6547_treuenbrietzen,_bahnhof",4.0
de:12069:900220164:2:51,,"treuenbrietzen,_bahnhof",bahnsteig_gleis_2,52.091894,12.853167,0,de:12069:900220164,1,2,"6547_treuenbrietzen,_bahnhof",4.0
de:14730:8012656,,"pönitz_(bei_leipzig),_bahnhof",,51.408536,12.514432,0,,0,,,
de:12062:900416008:1:50,,"plessa,_bahnhof",bahnsteig_gleis_1,51.471047,13.617929,0,de:12062:900416008,1,1,"7959_plessa,_bahnhof",4.0
de:12062:900416008:2:51,,"plessa,_bahnhof",bahnsteig_gleis_2,51.470675,13.616022,0,de:12062:900416008,1,2,"7959_plessa,_bahnhof",4.0
de:12060:900350137:1:50,,"biesenthal,_bahnhof",bahnsteig_gleis_1,52.755937,13.675252,0,de:12060:900350137,1,1,"5059_biesenthal,_bahnhof",50.0
de:12060:900350137:2:51,,"biesenthal,_bahnhof",bahnsteig_gleis_2,52.75598,13.67514,0,de:12060:900350137,1,2,"5059_biesenthal,_bahnhof",50.0
de:12065:900200043:1:50,,"nassenheide,_bahnhof",bahnsteig_gleis_1,52.816525,13.239579,0,de:12065:900200043,1,3,"4953_nassenheide,_bahnhof",4.0
de:12065:900200043:2:51,,"nassenheide,_bahnhof",bahnsteig_gleis_2,52.818924,13.238278,0,de:12065:900200043,0,2,"4953_nassenheide,_bahnhof",4.0
de:12073:900340979:2:51,,"nechlin,_bahnhof",bahnsteig_gleis_2,53.441787,13.903314,0,de:12073:900340979,1,2,"3563_nechlin,_bahnhof",5.0
