id,source,landuse,geometry,accepted_recycling_items,not_accepted_recycling_items,display_name,name_metadata,entity_type,full_address,contact_combined,website_combined,access_restriction,wheelchair_access,physical_obstacles,environmental_features,floor_level,unit_count,accessibility_features,availability_info,is_operational,district,neighborhood,district_id
26867409,,,POINT (13.296828 52.5013289),['glass_bottles'],,Berlin Recycling,['operator: Berlin Recycling'],,,,,,,,,,,,,,Charlottenburg-Wilmersdorf,Charlottenburg,11004004
254985049,,,POINT (13.3205366 52.4839968),['clothes'],,,,,2 Container,,,,,,,,,,,,Charlottenburg-Wilmersdorf,Wilmersdorf,11004004
262212828,,,POINT (13.4856806 52.5190209),['glass_bottles'],,,,,,,,,,,,,,,,,Lichtenberg,Lichtenberg,11011011
267093410,,,POINT (13.5928941 52.5084566),['glass_bottles'],,,,,,,,,,,,,,,,,Marzahn-Hellersdorf,Kaulsdorf,11010010
272619379,survey,,POINT (13.4556341 52.5218288),['glass_bottles'],,,,,,,,,,,,,,,,,Friedrichshain-Kreuzberg,Friedrichshain,11002002
272619880,,,POINT (13.4535179 52.5258487),['glass_bottles'],,,,,,,,,,,,,,,,,Friedrichshain-Kreuzberg,Friedrichshain,11002002
273174898,,,POINT (13.2984812 52.4576525),['glass_bottles'],,Rhenus,['operator: Rhenus'],,,,,,,,,,,,,,Steglitz-Zehlendorf,Dahlem,11006006
280752631,,,POINT (13.5763842 52.553359),['glass_bottles'],,,,,,,,,,,,,,,,,Marzahn-Hellersdorf,Marzahn,11010010
280938557,,,POINT (13.4794521 52.5263492),['glass_bottles'],,,,,,,,,,,,,,,,,Lichtenberg,Fennpfuhl,11011011
281962480,,,POINT (13.4516945 52.5473847),['glass_bottles'],,,,,,,,,,,,,,,,,Pankow,Weißensee,11003003
288739735,,,POINT (13.4506654 52.4493276),,,,,,,,,residents,,,,,,Access restricted (residents),,,Neukölln,Britz,11008008
288740249,,,POINT (13.1931677 52.5245255),['glass_bottles'],,,,,,,,,,,,,,,,,Spandau,Wilhelmstadt,11005005
290659186,,,POINT (13.4760484 52.6157261),['glass_bottles'],['glass'],,,,,,,,,,,,,,,,Pankow,Karow,11003003
290659525,,,POINT (13.4796049 52.6126468),['glass_bottles'],,,,,,,,,,,,,,,,,Pankow,Karow,11003003
292745926,,,POINT (13.4854219 52.616056),['glass_bottles'],,,,,,,,,,,,,,,,,Pankow,Karow,11003003
292935637,,,POINT (13.4203789 52.4915304),['glass_bottles'],,Karl Meyer Rohstoffverwertung,['operator: Karl Meyer Rohstoffverwertung'],,,,,,,,,,,,,,Friedrichshain-Kreuzberg,Kreuzberg,11002002
294793374,,,POINT (13.2027164 52.5237931),['glass_bottles'],,,,,,,,,,,,,,,,,Spandau,Wilhelmstadt,11005005
302764895,,,POINT (13.6142969 52.5098752),['glass_bottles'],,,,,,,,,,,,,,,,,Marzahn-Hellersdorf,Mahlsdorf,11010010
304367352,,,POINT (13.1916504 52.5363044),['glass_bottles'],,,,,,,,,,,,,,,,,Spandau,Spandau,11005005
304367369,,,POINT (13.1435989 52.5457802),['clothes'],,,,,,,,,,,,,,,,,Spandau,Staaken,11005005
305943442,aerowest,,POINT (13.3147389 52.5255155),['glass_bottles'],,Rhenus,['operator: Rhenus'],,,,,,,,,,,,,,Charlottenburg-Wilmersdorf,Charlottenburg,11004004
306456511,"bezirksamt charlottenburg-wilmersdorf von berlin, umweltamt",,POINT (13.3038217 52.5037785),['glass_bottles'],,Karl Meyer Rohstoffverwertung,['operator: Karl Meyer Rohstoffverwertung'],,,,,,,,,,,,,,Charlottenburg-Wilmersdorf,Charlottenburg,11004004
309364526,,,POINT (13.3285005 52.4948),['glass_bottles'],,Karl Meyer Rohstoffverwertung,['operator: Karl Meyer Rohstoffverwertung'],,Hohenzollerndamm 208 / Wasserwerk,,,,,,,,,,,,Charlottenburg-Wilmersdorf,Wilmersdorf,11004004
309847736,,,POINT (13.2957832 52.4921591),['glass_bottles'],,Karl Meyer Rohstoffverwertung,['operator: Karl Meyer Rohstoffverwertung'],,Paulsborner Str. 70 ggü. Nr. 27 Ecke Seesener Str.,,,,,,,,,,,,Charlottenburg-Wilmersdorf,Halensee,11004004
310440153,,,POINT (13.5852924 52.3949142),"['glass_bottles', 'shoes']",,,,,,,,,,,,,,,,,Treptow-Köpenick,Bohnsdorf,11009009
311090440,,,POINT (13.3051351 52.4970444),['glass_bottles'],,Rhenus,['operator: Rhenus'],,Eisenzahnstr. Ecke Paulsborner Str.,,,,,,,,,,,,Charlottenburg-Wilmersdorf,Wilmersdorf,11004004
311090625,,,POINT (13.308249 52.4953753),['glass_bottles'],,Rhenus,['operator: Rhenus'],,Ballenstedter Str. 2 Ecke Brandenburgische Str.,,,,,,,,,,,,Charlottenburg-Wilmersdorf,Wilmersdorf,11004004
311255499,,,POINT (13.3179542 52.5258812),['glass_bottles'],,,,,,,,,,,,,,,,,Mitte,Moabit,11001001
