id,district_id,name,latitude,longitude,geometry,neighborhood,district,neighborhood_id,source,source_layer,external_id,primary_source,source_ids,school_name,school_type,school_subtype,grades_offered,is_primary,is_secondary,is_vocational,is_special_needs,languages,has_all_day_program,address,street,house_number,postal_code,city,ownership,official_school_id,is_barrier_free,accessibility_notes,phone,email,website,last_source_update,last_ingested_at,is_active,lat,lon,has_district,has_neighborhood
237838613,11007007,Rückert-Gymnasium,52.4799688,13.3384592,POINT (13.3384592 52.4799688),0701,Tempelhof-Schöneberg,Schöneberg,OSM,OSM_SCHOOLS,07Y02,OSM_SCHOOLS,node:237838613,Rückert-Gymnasium,,,,,,,,,,"Mettestraße 8, 10825 Berlin",Mettestraße,8,10825,Berlin,Bezirksamt Tempelhof-Schöneberg von Berlin,,,,+49 30 902777173,sekretariat@rueckert-gymnasium-berlin.de,https://www.rueckert-gymnasium-berlin.de,,,True,52.4799688,13.3384592,True,True
256912446,11004004,Erwin von Witzleben Grundschule,52.53944109999999,13.288043699999998,POINT (13.2880437 52.5394411),0406,Charlottenburg-Wilmersdorf,Charlottenburg-Nord,OSM,OSM_SCHOOLS,04G09,OSM_SCHOOLS,node:256912446,Erwin von Witzleben Grundschule,,,,,,,,,,"Halemweg 34-42, 13627 Berlin",Halemweg,34-42,13627,Berlin,,,,,,Erwin-von-Witzleben-GS@t-online.de,,,,True,52.53944109999999,13.288043699999998,True,True
256913234,11004004,Sportschule im Olympiapark - Poelchau-Schule,52.521142,13.241634199999998,POINT (13.2416342 52.521142),0405,Charlottenburg-Wilmersdorf,Westend,OSM,OSM_SCHOOLS,04A08,OSM_SCHOOLS,node:256913234,Sportschule im Olympiapark - Poelchau-Schule,,,,,,,,,,"Prinz-Friedrich-Karl-Weg 1, 14053 Berlin",Prinz-Friedrich-Karl-Weg,1,14053,Berlin,,,,,,,,,,True,52.521142,13.241634199999998,True,True
256913872,11004004,Anna Freud Schule,52.5376587,13.2883255,POINT (13.2883255 52.5376587),0406,Charlottenburg-Wilmersdorf,Charlottenburg-Nord,OSM,OSM_SCHOOLS,04B05,OSM_SCHOOLS,node:256913872,Anna Freud Schule,,,,,,,,,,"Halemweg 22, 13627 Berlin",Halemweg,22,13627,Berlin,,,,,+4930 364178 10,post@anna-freud-osz.de,https://www.anna-freud-osz.de/,,,True,52.5376587,13.2883255,True,True
268915174,11004004,ABC-Kindergarten - Sabine Erdmann Vorschule,52.497834600000004,13.3019467,POINT (13.3019467 52.4978346),0402,Charlottenburg-Wilmersdorf,Wilmersdorf,OSM,OSM_SCHOOLS,,OSM_SCHOOLS,node:268915174,ABC-Kindergarten - Sabine Erdmann Vorschule,,,,,,,,,,,,,,,,,,,,,,,,True,52.497834600000004,13.3019467,True,True
268915405,11007007,Freie Schule in Berlin,52.454544799999994,13.3814584,POINT (13.3814584 52.4545448),0703,Tempelhof-Schöneberg,Tempelhof,OSM,OSM_SCHOOLS,07P05,OSM_SCHOOLS,node:268915405,Freie Schule in Berlin,,,,,,,,,,"Viktoriastraße 13-18, 12105",Viktoriastraße,13-18,12105,,Freie Schule in Berlin e.V.,,,,+49 30 7520771,,https://freie-schule-in-berlin.de,,,True,52.454544799999994,13.3814584,True,True
298750707,11005005,Evangelische Schule Spandau,52.5721259,13.199677999999999,POINT (13.199678 52.5721259),0507,Spandau,Hakenfelde,OSM,OSM_SCHOOLS,05P03,OSM_SCHOOLS,node:298750707,Evangelische Schule Spandau,,,,,,,,,,"Schönwalder Allee 26/27, 13587 Berlin",Schönwalder Allee,26/27,13587,Berlin,Evangelische Schulstiftung in der EKBO,,,,+49 30 35599050,,https://www.ev-schule-spandau.de/,,,True,52.5721259,13.199677999999999,True,True
340239440,11007007,Sternberg Grundschule,52.4803608,13.3390601,POINT (13.3390601 52.4803608),0701,Tempelhof-Schöneberg,Schöneberg,OSM,OSM_SCHOOLS,07G06,OSM_SCHOOLS,node:340239440,Sternberg Grundschule,,,,,,,,,,"Mettestraße 8, 10825 Berlin",Mettestraße,8,10825,Berlin,Bezirksamt Tempelhof-Schöneberg von Berlin,,,,+49 30 902777156,Sekretariat@sternberg.schule.berlin.de,https://www.sternberg-grundschule.de,,,True,52.4803608,13.3390601,True,True
360713397,11008008,Peter-Petersen-Schule,52.4717574,13.4357615,POINT (13.4357615 52.4717574),0801,Neukölln,Neukölln,OSM,OSM_SCHOOLS,,OSM_SCHOOLS,node:360713397,Peter-Petersen-Schule,,,,,,,,,,"Jonasstraße 15-16, 12053 Berlin",Jonasstraße,15-16,12053,Berlin,,,,,,,,,,True,52.4717574,13.4357615,True,True
360713401,11008008,Konrad-Agahd-Grundschule,52.4725928,13.4354917,POINT (13.4354917 52.4725928),0801,Neukölln,Neukölln,OSM,OSM_SCHOOLS,08G14,OSM_SCHOOLS,node:360713401,Konrad-Agahd-Grundschule,,,,,,,,,,"Thomasstraße 39, 12053 Berlin",Thomasstraße,39,12053,Berlin,,,,,,,,,,True,52.4725928,13.4354917,True,True
506133476,11009009,Berliner Rettungsdienstschule,52.445113,13.517052200000002,POINT (13.5170522 52.445113),0904,Treptow-Köpenick,Johannisthal,OSM,OSM_SCHOOLS,,OSM_SCHOOLS,node:506133476,Berliner Rettungsdienstschule,,,,,,,,,,,,,,,,,,,,,,,,True,52.445113,13.517052200000002,True,True
613697442,11001001,,52.5353066,13.398209699999999,POINT (13.3982097 52.5353066),0101,Mitte,Mitte,OSM,OSM_SCHOOLS,,OSM_SCHOOLS,node:613697442,,,,,,,,,,,,,,,,,,,,,,,,,True,52.5353066,13.398209699999999,True,True
727710608,11010010,bbw Akademie Betriebswirtschaftliche Weiterbildung,52.526422600000004,13.5311243,POINT (13.5311243 52.5264226),1001,Marzahn-Hellersdorf,Marzahn,OSM,OSM_SCHOOLS,10E04,OSM_SCHOOLS,node:727710608,bbw Akademie Betriebswirtschaftliche Weiterbildung,,,,,,,,,,"Allee der Kosmonauten 33 B, 12681 Berlin",Allee der Kosmonauten,33 B,12681,Berlin,,,,,,,http://www.bbw-gruppe.de/standorte/berlin/marzahn.html,,,True,52.526422600000004,13.5311243,True,True
850092123,11009009,Käpt´n Mosers Wassersportschule,52.4430497,13.5768735,POINT (13.5768735 52.4430497),0910,Treptow-Köpenick,Köpenick,OSM,OSM_SCHOOLS,,OSM_SCHOOLS,node:850092123,Käpt´n Mosers Wassersportschule,,,,,,,,,,,,,,,,,,,,,,,,True,52.4430497,13.5768735,True,True
867872391,11002002,Deutsch Praxis,52.503440999999995,13.4120982,POINT (13.4120982 52.503441),0202,Friedrichshain-Kreuzberg,Kreuzberg,OSM,OSM_SCHOOLS,,OSM_SCHOOLS,node:867872391,Deutsch Praxis,,,,,,,,,,,,,,,,,,,,,http://www.deutsch-praxis.de/,,,True,52.503440999999995,13.4120982,True,True
871633760,11002002,Yoga/Schiatsu-Zentrum,52.5023614,13.413923999999998,POINT (13.413924 52.5023614),0202,Friedrichshain-Kreuzberg,Kreuzberg,OSM,OSM_SCHOOLS,,OSM_SCHOOLS,node:871633760,Yoga/Schiatsu-Zentrum,,,,,,,,,,,,,,,,,,,,,,,,True,52.5023614,13.413923999999998,True,True
876244328,11002002,Atelier für physisches Theater – Internationale Schule für Bewegungsschauspiel,52.501676999999994,13.4213836,POINT (13.4213836 52.501677),0202,Friedrichshain-Kreuzberg,Kreuzberg,OSM,OSM_SCHOOLS,,OSM_SCHOOLS,node:876244328,Atelier für physisches Theater – Internationale Schule für Bewegungsschauspiel,,,,,,,,,,,,,,,,,,,,,https://www.apt-absurdacomica.de/,,,True,52.501676999999994,13.4213836,True,True
985919722,11003003,Jugendwerkstatt Buch Aktivierungshilfe,52.625603299999995,13.492998399999998,POINT (13.4929984 52.6256033),0309,Pankow,Buch,OSM,OSM_SCHOOLS,,OSM_SCHOOLS,node:985919722,Jugendwerkstatt Buch Aktivierungshilfe,,,,,,,,,,,,,,,WERKSCHULEBERILIN e.V.,,,,,,,,,True,52.625603299999995,13.492998399999998,True,True
996413480,11003003,TING-Schule,52.56202449999999,13.4135424,POINT (13.4135424 52.5620245),0307,Pankow,Pankow,OSM,OSM_SCHOOLS,03P24,OSM_SCHOOLS,node:996413480,TING-Schule,,,,,,,,,,,,,,,,,,,+49 30 470045 06,ting@ting-schule.de,https://www.ting-schule.de/,,,True,52.56202449999999,13.4135424,True,True
1015728668,11006006,Biesalski-Schule,52.4545683,13.2706708,POINT (13.2706708 52.4545683),0605,Steglitz-Zehlendorf,Dahlem,OSM,OSM_SCHOOLS,06S02,OSM_SCHOOLS,node:1015728668,Biesalski-Schule,,,,,,,,,,"Hüttenweg 40, 14195 Berlin",Hüttenweg,40,14195,Berlin,,,,,,,,,,True,52.4545683,13.2706708,True,True
1057857273,11004004,Ernst-Habermann-Grundschule,52.4833728,13.3327206,POINT (13.3327206 52.4833728),0402,Charlottenburg-Wilmersdorf,Wilmersdorf,OSM,OSM_SCHOOLS,04G18,OSM_SCHOOLS,node:1057857273,Ernst-Habermann-Grundschule,,,,,,,,,,"Prinzregentenstraße 33-34, 10715 Berlin",Prinzregentenstraße,33-34,10715,Berlin,Bezirksamt Charlottenburg-Wilmersdorf von Berlin,,,,+49 30 81462460,sekretariat@ernst-habermann.schule.berlin.de,,,,True,52.4833728,13.3327206,True,True
1137671520,11004004,Kindermalschule,52.51854120000001,13.300785599999998,POINT (13.3007856 52.5185412),0401,Charlottenburg-Wilmersdorf,Charlottenburg,OSM,OSM_SCHOOLS,,OSM_SCHOOLS,node:1137671520,Kindermalschule,,,,,,,,,,"Lohmeyerstraße 26, 10587 Berlin",Lohmeyerstraße,26,10587,Berlin,,,,,,,,,,True,52.51854120000001,13.300785599999998,True,True
1140710553,11001001,CJD Berlin,52.5034349,13.3716254,POINT (13.3716254 52.5034349),0104,Mitte,Tiergarten,OSM,OSM_SCHOOLS,,OSM_SCHOOLS,node:1140710553,CJD Berlin,,,,,,,,,,"Am Karlsbad 16, 10785 Berlin",Am Karlsbad,16,10785,Berlin,,,,,+49 30 7909010,,https://www.cjd-berlin.de/,,,True,52.5034349,13.3716254,True,True
1224801662,11008008,Alno Küchenstudio,52.43994719999999,13.4359177,POINT (13.4359177 52.4399472),0802,Neukölln,Britz,OSM,OSM_SCHOOLS,,OSM_SCHOOLS,node:1224801662,Alno Küchenstudio,,,,,,,,,,,,,,,,,,,,,,,,True,52.43994719999999,13.4359177,True,True
1407207210,11003003,Abendgymnasium Prenzlauer Berg,52.552085,13.4056269,POINT (13.4056269 52.552085),0301,Pankow,Prenzlauer Berg,OSM,OSM_SCHOOLS,03A04,OSM_SCHOOLS,node:1407207210,Abendgymnasium Prenzlauer Berg,,,,,,,,,,"Driesener Straße 22, 10439 Berlin",Driesener Straße,22,10439,Berlin,,,,,+49 30 4254218,abendgymnasium@gmx.de,https://www.abendgymnasium-berlin.de/,,,True,52.552085,13.4056269,True,True
1552045205,11001001,Deutsch-Institut Berlin,52.52848449999998,13.388421299999997,POINT (13.3884213 52.5284845),0101,Mitte,Mitte,OSM,OSM_SCHOOLS,,OSM_SCHOOLS,node:1552045205,Deutsch-Institut Berlin,,,,,,,,,,"Novalisstraße 12, 10115 Berlin",Novalisstraße,12,10115,Berlin,,,,,,,,,,True,52.52848449999998,13.388421299999997,True,True
1597894107,11002002,Islam Vakfi,52.4908343,13.421325199999998,POINT (13.4213252 52.4908343),0202,Friedrichshain-Kreuzberg,Kreuzberg,OSM,OSM_SCHOOLS,02P03,OSM_SCHOOLS,node:1597894107,Islam Vakfi,,,,,,,,,,,,,,,Islam Kolleg Berlin gGmbH,,,,,,,,,True,52.4908343,13.421325199999998,True,True
1658284135,11004004,Charlotte-Wolff-Kolleg,52.50832689999999,13.303697299999998,POINT (13.3036973 52.5083269),0401,Charlottenburg-Wilmersdorf,Charlottenburg,OSM,OSM_SCHOOLS,04A04,OSM_SCHOOLS,node:1658284135,Charlotte-Wolff-Kolleg,,,,,,,,,,"Pestalozzistraße 40-41, 10627 Berlin",Pestalozzistraße,40-41,10627,Berlin,,,,,,,,,,True,52.50832689999999,13.303697299999998,True,True
1827035552,11002002,SCHATZ Schulaufgabenzirkel,52.4992808,13.41986,POINT (13.41986 52.4992808),0202,Friedrichshain-Kreuzberg,Kreuzberg,OSM,OSM_SCHOOLS,,OSM_SCHOOLS,node:1827035552,SCHATZ Schulaufgabenzirkel,,,,,,,,,,"Skalitzer Straße, 10999 Berlin",Skalitzer Straße,,10999,Berlin,Aktürk Celalettin,,,,+49 30 69531389,,,,,True,52.4992808,13.41986,True,True
1833519549,11004004,OSZ Wirtschaft Leopold-Ullstein-Schule - Abteilung II,52.4822428,13.334467599999998,POINT (13.3344676 52.4822428),0402,Charlottenburg-Wilmersdorf,Wilmersdorf,OSM,OSM_SCHOOLS,,OSM_SCHOOLS,node:1833519549,OSZ Wirtschaft Leopold-Ullstein-Schule - Abteilung II,,,,,,,,,,"Prinzregentenstraße 60, 10715 Berlin",Prinzregentenstraße,60,10715,Berlin,,,,,,,,,,True,52.4822428,13.334467599999998,True,True
1833591080,11004004,Kläre-Bloch-Schule,52.48211789999999,13.334453599999998,POINT (13.3344536 52.4821179),0402,Charlottenburg-Wilmersdorf,Wilmersdorf,OSM,OSM_SCHOOLS,,OSM_SCHOOLS,node:1833591080,Kläre-Bloch-Schule,,,,,,,,,,"Prinzregentenstraße 60, 10715 Berlin",Prinzregentenstraße,60,10715,Berlin,,,,,,,,,,True,52.48211789999999,13.334453599999998,True,True
1855387994,11010010,Das Lernzentum (Helliwood media & education),52.53571959999999,13.6048951,POINT (13.6048951 52.5357196),1005,Marzahn-Hellersdorf,Hellersdorf,OSM,OSM_SCHOOLS,,OSM_SCHOOLS,node:1855387994,Das Lernzentum (Helliwood media & education),,,,,,,,,,,,,,,,,,,,,,,,True,52.53571959999999,13.6048951,True,True
1867142844,11002002,Institut für Phytotherapie,52.49677259999999,13.421752299999998,POINT (13.4217523 52.4967726),0202,Friedrichshain-Kreuzberg,Kreuzberg,OSM,OSM_SCHOOLS,,OSM_SCHOOLS,node:1867142844,Institut für Phytotherapie,,,,,,,,,,"Paul-Lincke-Ufer 42-43, 10999 Berlin",Paul-Lincke-Ufer,42-43,10999,Berlin,,,,,,,,,,True,52.49677259999999,13.421752299999998,True,True
