clinic_name,address,district,neighborhood,services_offered,operating_days,operating_hours,contact_info,latitude,longitude,accessibility_features,data_source
Das Veterinärmedizinische Zentrum Berlin,"Scharnweberstraße 136, 13405.0 Berlin",Reinickendorf,Reinickendorf,,Mon–Sun,24/7,Phone: +49 30 4127357 | Email: info@vetzentrum-berlin.de | Website: https://www.vetzentrum-berlin.de/,52.5638362,13.325898,,"OSM amenity=veterinary, Berlin, snapshot 2025-12-09 (Overpass)"
Zete Marton,"Alt-Reinickendorf 37, 13407.0 Berlin",Reinickendorf,Reinickendorf,,Mon–Fri,"Mo-Fr 09:00-12:00, Mo,Th 16:00-19:00, Tu,We,Fr 15:00-18:00",,52.5748484,13.3512788,wheelchair=no,"OSM amenity=veterinary, Berlin, snapshot 2025-12-09 (Overpass)"
Tierärztlichen Klinik für Kleintiere,"Märkische Allee 258, 12679.0 Berlin",Marzahn-Hellersdorf,Marzahn,,Mon–Sun,24/7,Website: https://www.tierklinik-in-berlin.de/,52.5555554,13.5532476,wheelchair=yes,"OSM amenity=veterinary, Berlin, snapshot 2025-12-09 (Overpass)"
Tierarztpraxis Kathrin Böhm,"Robert-Siewert-Straße 90, 10318.0 Berlin",Lichtenberg,Karlshorst,,,"Th 10:00-18:00; Tu,We 10:00-19:00; Fr 10:00-15:00; Sa 10:00-15:00; Mo 10:00-17:00",Phone: +49 30 32669736,52.4926507,13.5369169,wheelchair=limited,"OSM amenity=veterinary, Berlin, snapshot 2025-12-09 (Overpass)"
Tierartzpraxis Gotthardt,"Winkler Straße 21, 14193.0 Berlin",Charlottenburg-Wilmersdorf,Grunewald,,,,,52.4876219,13.2666057,,"OSM amenity=veterinary, Berlin, snapshot 2025-12-09 (Overpass)"
Tierklinik Berlin-Biesdorf,"Alt-Biesdorf 22, 12683.0 Berlin",Marzahn-Hellersdorf,Biesdorf,emergency,Mon–Fri,"Mo-Fr 08:00-13:00,15:00-20:00; Sa 09:00-12:00",Phone: +49 30 5143760 | Website: https://www.tierklinik-in-biesdorf.de/,52.5087193,13.5557349,wheelchair=no,"OSM amenity=veterinary, Berlin, snapshot 2025-12-09 (Overpass)"
Tierarztpraxis am Urban,"Baerwaldstraße 69, 10961.0 Berlin",Friedrichshain-Kreuzberg,Kreuzberg,,,"Mo-Sa 10:00-12:00, Mo 17:00-19:00, Tu,We,Fr 16:00-18:00, Th 17:00-19:00",,52.4956842,13.4052329,wheelchair=no,"OSM amenity=veterinary, Berlin, snapshot 2025-12-09 (Overpass)"
Tierarztpraxis Dr. Christine Mueller,"Südekumzeile 26E, 13591.0 Berlin",Spandau,Staaken,,,,Phone: +49 30 366 0128 | Email: christinemueller.berlin@web.de | Website: http://tierarztpraxis-spandau.de/,52.5311495,13.1485473,,"OSM amenity=veterinary, Berlin, snapshot 2025-12-09 (Overpass)"
Dr. med. vet. Elke Hartwig,"Straße 48 67, 13125.0 Berlin",Pankow,Karow,,Mon–Fri,"Mo,Tu,Th,Fr 10:00-12:00, Mo-Fr 15:00-18:00",Phone: +49 30 9437820 | Website: http://www.tierarztpraxis-hartwig.de/,52.6062863,13.4795548,wheelchair=limited,"OSM amenity=veterinary, Berlin, snapshot 2025-12-09 (Overpass)"
Tierarztpraxis Dr. Bernhard Sörensen,"Königsberger Straße 36, 12207.0 Berlin",Steglitz-Zehlendorf,Lichterfelde,,Mon–Fri,"Mo-Fr 09:00-20:00; Sa, Su 10:00-18:00",Phone: +49 30 7738321 | Website: https://www.tierarztpraxis-soerensen.de/,52.4297216,13.3201326,wheelchair=yes,"OSM amenity=veterinary, Berlin, snapshot 2025-12-09 (Overpass)"
Tierarztpraxis Jeanette Koepsel,nan,Spandau,Siemensstadt,,,,,52.5351995,13.2705734,,"OSM amenity=veterinary, Berlin, snapshot 2025-12-09 (Overpass)"
Kleintierarztpraxis Berlin Kaulsdorf,"Planitzstraße 19, 12621.0 Berlin",Marzahn-Hellersdorf,Kaulsdorf,,Mon–Fri,"Mo-Fr 09:00-19:00 open ""tel. Terminvereinbarung erforderlich"", week 01-53/2 Sa 09:00-12:00 open ""tel. Terminvereinbarung erforderlich""; Dec 23-26 off; Dec 31-Jan 02 off; PH off",Phone: +49 30 53018585 | Email: info@tierarzt-kaulsdorf.de | Website: https://www.tierarzt-kaulsdorf.de/,52.5095114,13.5896353,,"OSM amenity=veterinary, Berlin, snapshot 2025-12-09 (Overpass)"
Eva Klein,nan,Steglitz-Zehlendorf,Nikolassee,,,,,52.4288173,13.1935291,,"OSM amenity=veterinary, Berlin, snapshot 2025-12-09 (Overpass)"
Klein- und Heimtierklinik,"Oertzenweg 19b, 14163.0 Berlin",Steglitz-Zehlendorf,Zehlendorf,emergency,Mon–Fri,"Mo-Fr 09:00-13:00,14:00-16:00",Website: https://www.vetmed.fu-berlin.de/einrichtungen/kliniken/we20/index.html,52.4302981,13.2373596,wheelchair=yes,"OSM amenity=veterinary, Berlin, snapshot 2025-12-09 (Overpass)"
Tierarztpraxis im Frauenviertel - Firchow,nan,Neukölln,Rudow,,Mon–Fri,"Mo-Fr 10:00-12:00, Mo,Tu,Th 17:00-19:00, Fr 16:00-18:00",,52.4042597,13.5071658,wheelchair=limited,"OSM amenity=veterinary, Berlin, snapshot 2025-12-09 (Overpass)"
Kleintierpraxis Kladow,"Zingerleweg 29, 14089.0 Berlin",Spandau,Kladow,,,,Phone: +49 30 3653374 | Email: info@kleintierpraxis-kladow.de | Website: http://www.kleintierpraxis-kladow.de,52.4608878,13.121554,,"OSM amenity=veterinary, Berlin, snapshot 2025-12-09 (Overpass)"
