id,clinic_name,address,district,district_id,neighborhood,neighborhood_id,lor_id,latitude,longitude,geometry,operating_hours,contact_info,accessibility_features,data_source,source_osm_id,has_minimum_info
268917040,Tierarztpraxis am Urban,"Baerwaldstraße 69, 10961.0 Berlin",Friedrichshain-Kreuzberg,11002002,Kreuzberg,0202,re_ortsteil.0202,52.4956842,13.4052329,POINT (13.4052329 52.4956842),"Mo-Sa 10:00-12:00, Mo 17:00-19:00, Tu,We,Fr 16:00-18:00, Th 17:00-19:00",,no,"OSM amenity=veterinary, Berlin, fetched via OSMNX latest snapshot",node/268917040,True
299795048,Dr. med. vet. Elke Hartwig,"Straße 48 67, 13125.0 Berlin",Pankow,11003003,Karow,0305,re_ortsteil.0305,52.6062863,13.4795548,POINT (13.4795548 52.60628629999999),"Mo,Tu,Th,Fr 10:00-12:00, Mo-Fr 15:00-18:00",phone: +49 30 9437820; web: http://www.tierarztpraxis-hartwig.de/,limited,"OSM amenity=veterinary, Berlin, fetched via OSMNX latest snapshot",node/299795048,True
347294456,Tierarztpraxis Dr. Bernhard Sörensen,"Königsberger Straße 36, 12207.0 Berlin",Steglitz-Zehlendorf,11006006,Lichterfelde,0602,re_ortsteil.0602,52.4297216,13.3201326,POINT (13.3201326 52.4297216),"Mo-Fr 09:00-20:00; Sa, Su 10:00-18:00",phone: +49 30 7738321; web: https://www.tierarztpraxis-soerensen.de/,yes,"OSM amenity=veterinary, Berlin, fetched via OSMNX latest snapshot",node/347294456,True
394867279,Tierarztpraxis Jeanette Koepsel,"Wernerwerkdamm 27, 13629 Berlin",Spandau,11005005,Siemensstadt,0503,re_ortsteil.0503,52.5351995,13.2705734,POINT (13.2705734 52.5351995),,,,"OSM amenity=veterinary, Berlin, fetched via OSMNX latest snapshot",node/394867279,True
411550894,Kleintierarztpraxis Berlin Kaulsdorf,"Planitzstraße 19, 12621.0 Berlin",Marzahn-Hellersdorf,11010010,Kaulsdorf,1003,re_ortsteil.1003,52.5095114,13.5896353,POINT (13.5896353 52.50951139999999),"Mo-Fr 09:00-19:00 open ""tel. Terminvereinbarung erforderlich"", week 01-53/2 Sa 09:00-12:00 open ""tel. Terminvereinbarung erforderlich""; Dec 23-26 off; Dec 31-Jan 02 off; PH off",phone: +49 30 53018585; email: info@tierarzt-kaulsdorf.de; web: https://www.tierarzt-kaulsdorf.de/,,"OSM amenity=veterinary, Berlin, fetched via OSMNX latest snapshot",node/411550894,True
581887970,Eva Klein,"Teutonenstraße 2, 14129 Berlin",Steglitz-Zehlendorf,11006006,Nikolassee,0606,re_ortsteil.0606,52.4288173,13.1935291,POINT (13.1935291 52.4288173),,,,"OSM amenity=veterinary, Berlin, fetched via OSMNX latest snapshot",node/581887970,True
603392630,Klein- und Heimtierklinik,"Oertzenweg 19b, 14163.0 Berlin",Steglitz-Zehlendorf,11006006,Zehlendorf,0604,re_ortsteil.0604,52.4302981,13.2373596,POINT (13.2373596 52.4302981),"Mo-Fr 09:00-13:00,14:00-16:00",web: https://www.vetmed.fu-berlin.de/einrichtungen/kliniken/we20/index.html,yes,"OSM amenity=veterinary, Berlin, fetched via OSMNX latest snapshot",node/603392630,True
702363921,Tierarztpraxis im Frauenviertel - Firchow,"Elfriede-Kuhr-Straße, 12355 Berlin",Neukölln,11008008,Rudow,0804,re_ortsteil.0804,52.4042597,13.5071658,POINT (13.5071658 52.4042597),"Mo-Fr 10:00-12:00, Mo,Tu,Th 17:00-19:00, Fr 16:00-18:00",,limited,"OSM amenity=veterinary, Berlin, fetched via OSMNX latest snapshot",node/702363921,True
703135335,Kleintierpraxis Kladow,"Zingerleweg 29, 14089.0 Berlin",Spandau,11005005,Kladow,0506,re_ortsteil.0506,52.4608878,13.121554,POINT (13.121554 52.4608878),,phone: +49 30 3653374; email: info@kleintierpraxis-kladow.de; web: http://www.kleintierpraxis-kladow.de,,"OSM amenity=veterinary, Berlin, fetched via OSMNX latest snapshot",node/703135335,True
978560965,Carsten Schiller,"Schnellerstraße 97, 12439.0 Berlin",Treptow-Köpenick,11009009,Niederschöneweide,0905,re_ortsteil.0905,52.4531078,13.5245669,POINT (13.5245669 52.4531078),"Mo,Tu 10:00-12:00,15:00-18:00; We 15:00-18:00; Th;Fr 10:00-12:00,15:00-18:00",,"no – Eine Stufe, schmale Tür zum Behandlungsraum","OSM amenity=veterinary, Berlin, fetched via OSMNX latest snapshot",node/978560965,True
1003123264,Tierarztpraxis Dr. C. Lewandowski und Dr. S. Klug,"Buckower Damm, 12349 Berlin",Neukölln,11008008,Buckow,0803,re_ortsteil.0803,52.4232758,13.4367554,POINT (13.4367554 52.4232758),,web: https://www.lewandowski-klug.de/,no,"OSM amenity=veterinary, Berlin, fetched via OSMNX latest snapshot",node/1003123264,True
1069431810,Gabriele C. Müller,"Brunowstraße 39, 13507.0 Berlin",Reinickendorf,11012012,Tegel,1202,re_ortsteil.1202,52.5870846,13.2811455,POINT (13.2811455 52.5870846),"Mo,Tu,Th,Fr 10:00-12:00,17:00-19:00, We 17:00-18:00, Sa 12:00-13:00",phone: +49304343116; web: https://www.tieraerztin-berlin.com/,limited,"OSM amenity=veterinary, Berlin, fetched via OSMNX latest snapshot",node/1069431810,True
1139485719,Tierarztpraxis Feuerbachstraße,"Feuerbachstraße 68, 12163.0 Berlin",Steglitz-Zehlendorf,11006006,Steglitz,0601,re_ortsteil.0601,52.464411,13.3395319,POINT (13.3395319 52.464411),Mo-Su 09:00-12:00; Mo-Fr 16:00-20:00,phone: +49 30 855 40 50,no,"OSM amenity=veterinary, Berlin, fetched via OSMNX latest snapshot",node/1139485719,True
1158920335,Tierarztpraxis Kammbach,"Schweizer Tal 55, 13127.0 Berlin",Pankow,11003003,Französisch Buchholz,0310,re_ortsteil.0310,52.6074605,13.41982,POINT (13.41982 52.60746049999999),,phone: +4930 47 48 12 20; web: https://www.tierarztpraxis-kammbach.de/,yes,"OSM amenity=veterinary, Berlin, fetched via OSMNX latest snapshot",node/1158920335,True
1169112227,Tierarztpraxis am Velodrom,"Conrad-Blenkle-Straße 4, 10407.0 Berlin",Pankow,11003003,Prenzlauer Berg,0301,re_ortsteil.0301,52.5281462,13.4501959,POINT (13.4501959 52.5281462),"Mo,Th 12:00-19:00; Tu,Fr 09:00-15:00; We,Sa 09:00-12:00",phone: +493042085005; web: http://www.tierarztpraxis-am-velodrom.de/,limited,"OSM amenity=veterinary, Berlin, fetched via OSMNX latest snapshot",node/1169112227,True
1244610778,Dipl.-vet.-med. Jörg Porada,"Rungestraße, 10179 Berlin",Mitte,11001001,Mitte,0101,re_ortsteil.0101,52.5121271,13.4195273,POINT (13.4195273 52.5121271),,,,"OSM amenity=veterinary, Berlin, fetched via OSMNX latest snapshot",node/1244610778,True
1247761224,Tierarztpraxis,"Franz-Jacob-Straße, 10369 Berlin",Lichtenberg,11011011,Fennpfuhl,1111,re_ortsteil.1111,52.5290099,13.4684992,POINT (13.4684992 52.5290099),"Mo,Tu,Th,Fr 09:30-11:00,16:30-19:00; We 17:00-20:00; Sa 10:00-12:00",,yes,"OSM amenity=veterinary, Berlin, fetched via OSMNX latest snapshot",node/1247761224,True
1309566310,Bella brazil waxing studio,"Wilhelmsruher Damm 238, 13435 Berlin",Reinickendorf,11012012,Wittenau,1209,re_ortsteil.1209,52.5958722,13.3349653,POINT (13.3349653 52.59587219999999),,,,"OSM amenity=veterinary, Berlin, fetched via OSMNX latest snapshot",node/1309566310,True
1352697273,DVM J. Rafael,"Kuglerstraße, 10439 Berlin",Pankow,11003003,Prenzlauer Berg,0301,re_ortsteil.0301,52.5525185,13.4154857,POINT (13.4154857 52.552518499999984),"Mo,We 09:00-12:00,15:00-19:00, Tu,Th 09:00-11:00,14:00-18:00, Fr 09:00-12:00, Sa 09:00-11:00",,limited,"OSM amenity=veterinary, Berlin, fetched via OSMNX latest snapshot",node/1352697273,True
1387989062,Dr. König,"Hohenzollerndamm, 14199 Berlin",Charlottenburg-Wilmersdorf,11004004,Schmargendorf,0403,re_ortsteil.0403,52.4789793,13.2848224,POINT (13.2848224 52.4789793),"Mo-Sa 10:00-12:00; Mo,Tu,Th,Fr 16:00-18:00",,,"OSM amenity=veterinary, Berlin, fetched via OSMNX latest snapshot",node/1387989062,True
1431365727,,"Karlsbader Straße, 14193 Berlin",Charlottenburg-Wilmersdorf,11004004,Schmargendorf,0403,re_ortsteil.0403,52.478761,13.2825498,POINT (13.2825498 52.478761),,,,"OSM amenity=veterinary, Berlin, fetched via OSMNX latest snapshot",node/1431365727,True
1444862410,Flidais,"Buschkrugallee 206, 12359.0 Berlin",Neukölln,11008008,Britz,0802,re_ortsteil.0802,52.4463278,13.4543051,POINT (13.4543051 52.4463278),,web: https://www.flidais-vet.de,,"OSM amenity=veterinary, Berlin, fetched via OSMNX latest snapshot",node/1444862410,True
1464419364,Ullrich Mattke,"Gäblerstraße 5, 13086.0 Berlin",Pankow,11003003,Weißensee,0302,re_ortsteil.0302,52.5536467,13.4483752,POINT (13.4483752 52.5536467),"Mo-Th 09:00-12:00,15:00-19:00; Sa 10:00-12:00; Fr 09:00-12:00,15:00-17:00",,,"OSM amenity=veterinary, Berlin, fetched via OSMNX latest snapshot",node/1464419364,True
