id,@id,name,addr:street,addr:housenumber,addr:postcode,addr:city,phone,contact:phone,website,contact:website,email,contact:email,opening_hours,operator,lor_id,district_name,neighborhood_name,lat,lon
way/24921047,way/24921047,Das Veterinärmedizinische Zentrum Berlin,Scharnweberstraße,136,13405,Berlin,+49 30 4127357,,https://www.vetzentrum-berlin.de/,,info@vetzentrum-berlin.de,,24/7,Kai S. Rödiger,re_ortsteil.1201,Reinickendorf,Reinickendorf,52.5638362,13.325898
way/28608972,way/28608972,Zete Marton,Alt-Reinickendorf,37,13407,Berlin,,,,,,,"Mo-Fr 09:00-12:00, Mo,Th 16:00-19:00, Tu,We,Fr 15:00-18:00",,re_ortsteil.1201,Reinickendorf,Reinickendorf,52.5748484,13.3512788
way/71173694,way/71173694,Tierärztlichen Klinik für Kleintiere,Märkische Allee,258,12679,Berlin,,,https://www.tierklinik-in-berlin.de/,,,,24/7,,re_ortsteil.1001,Marzahn-Hellersdorf,Marzahn,52.5555554,13.5532476
way/89101208,way/89101208,Tierarztpraxis Kathrin Böhm,Robert-Siewert-Straße,90,10318,Berlin,+49 30 32669736,,,,,,"Th 10:00-18:00; Tu,We 10:00-19:00; Fr 10:00-15:00; Sa 10:00-15:00; Mo 10:00-17:00",Kathrin Böhm,re_ortsteil.1102,Lichtenberg,Karlshorst,52.4926507,13.5369169
way/117230559,way/117230559,Tierartzpraxis Gotthardt,Winkler Straße,21,14193,Berlin,,,,,,,,,re_ortsteil.0404,Charlottenburg-Wilmersdorf,Grunewald,52.4876219,13.2666057
way/163836866,way/163836866,Tierklinik Berlin-Biesdorf,Alt-Biesdorf,22,12683,Berlin,+49 30 5143760,,https://www.tierklinik-in-biesdorf.de/,,,,"Mo-Fr 08:00-13:00,15:00-20:00; Sa 09:00-12:00",,re_ortsteil.1002,Marzahn-Hellersdorf,Biesdorf,52.5087193,13.5557349
node/268917040,node/268917040,Tierarztpraxis am Urban,Baerwaldstraße,69,10961,Berlin,,,,,,,"Mo-Sa 10:00-12:00, Mo 17:00-19:00, Tu,We,Fr 16:00-18:00, Th 17:00-19:00",,re_ortsteil.0202,Friedrichshain-Kreuzberg,Kreuzberg,52.4956842,13.4052329
way/286010852,way/286010852,Tierarztpraxis Dr. Christine Mueller,Südekumzeile,26E,13591,Berlin,,+49 30 366 0128,,http://tierarztpraxis-spandau.de/,,christinemueller.berlin@web.de,,,re_ortsteil.0504,Spandau,Staaken,52.5311495,13.1485473
node/299795048,node/299795048,Dr. med. vet. Elke Hartwig,Straße 48,67,13125,Berlin,+49 30 9437820,,http://www.tierarztpraxis-hartwig.de/,,,,"Mo,Tu,Th,Fr 10:00-12:00, Mo-Fr 15:00-18:00",,re_ortsteil.0305,Pankow,Karow,52.6062863,13.4795548
node/347294456,node/347294456,Tierarztpraxis Dr. Bernhard Sörensen,Königsberger Straße,36,12207,Berlin,+49 30 7738321,,https://www.tierarztpraxis-soerensen.de/,,,,"Mo-Fr 09:00-20:00; Sa, Su 10:00-18:00",,re_ortsteil.0602,Steglitz-Zehlendorf,Lichterfelde,52.4297216,13.3201326
